"top_left","top_middle","top_right","middle_left","middle_middle","middle_right","bottom_left","bottom_middle","bottom_right","game_turn","winner","game_guid"
"E","E","E","E","E","E","X","E","E","1","O_EVENTUAL_WIN","d8d1befa-9274-11e8-89ca-cb09d8eb3b08"
"O","E","E","E","E","E","X","E","E","2","O_EVENTUAL_WIN","d8d1befa-9274-11e8-89ca-cb09d8eb3b08"
"O","E","E","E","E","E","X","X","E","3","O_EVENTUAL_WIN","d8d1befa-9274-11e8-89ca-cb09d8eb3b08"
"O","E","E","E","E","E","X","X","O","4","O_EVENTUAL_WIN","d8d1befa-9274-11e8-89ca-cb09d8eb3b08"
"O","E","X","E","E","E","X","X","O","5","O_EVENTUAL_WIN","d8d1befa-9274-11e8-89ca-cb09d8eb3b08"
"O","E","X","E","O","E","X","X","O","6","O_WIN","d8d1befa-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","E","E","E","E","E","X","1","O_EVENTUAL_WIN","d8dc1daa-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","O","E","E","E","E","X","2","O_EVENTUAL_WIN","d8dc1daa-9274-11e8-89ca-cb09d8eb3b08"
"X","E","E","O","E","E","E","E","X","3","O_EVENTUAL_WIN","d8dc1daa-9274-11e8-89ca-cb09d8eb3b08"
"X","E","E","O","E","O","E","E","X","4","O_EVENTUAL_WIN","d8dc1daa-9274-11e8-89ca-cb09d8eb3b08"
"X","X","E","O","E","O","E","E","X","5","O_EVENTUAL_WIN","d8dc1daa-9274-11e8-89ca-cb09d8eb3b08"
"X","X","E","O","O","O","E","E","X","6","O_WIN","d8dc1daa-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","E","X","E","E","E","E","1","X_EVENTUAL_WIN","d8dd07ec-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","E","X","E","O","E","E","2","X_EVENTUAL_WIN","d8dd07ec-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","E","X","E","O","E","X","3","X_EVENTUAL_WIN","d8dd07ec-9274-11e8-89ca-cb09d8eb3b08"
"O","E","E","E","X","E","O","E","X","4","X_EVENTUAL_WIN","d8dd07ec-9274-11e8-89ca-cb09d8eb3b08"
"O","E","E","E","X","E","O","X","X","5","X_EVENTUAL_WIN","d8dd07ec-9274-11e8-89ca-cb09d8eb3b08"
"O","E","E","E","X","O","O","X","X","6","X_EVENTUAL_WIN","d8dd07ec-9274-11e8-89ca-cb09d8eb3b08"
"O","X","E","E","X","O","O","X","X","7","X_WIN","d8dd07ec-9274-11e8-89ca-cb09d8eb3b08"
"E","X","E","E","E","E","E","E","E","1","X_EVENTUAL_WIN","d8dd5602-9274-11e8-89ca-cb09d8eb3b08"
"E","X","E","E","O","E","E","E","E","2","X_EVENTUAL_WIN","d8dd5602-9274-11e8-89ca-cb09d8eb3b08"
"E","X","E","X","O","E","E","E","E","3","X_EVENTUAL_WIN","d8dd5602-9274-11e8-89ca-cb09d8eb3b08"
"E","X","E","X","O","O","E","E","E","4","X_EVENTUAL_WIN","d8dd5602-9274-11e8-89ca-cb09d8eb3b08"
"E","X","E","X","O","O","X","E","E","5","X_EVENTUAL_WIN","d8dd5602-9274-11e8-89ca-cb09d8eb3b08"
"E","X","E","X","O","O","X","E","O","6","X_EVENTUAL_WIN","d8dd5602-9274-11e8-89ca-cb09d8eb3b08"
"E","X","X","X","O","O","X","E","O","7","X_EVENTUAL_WIN","d8dd5602-9274-11e8-89ca-cb09d8eb3b08"
"E","X","X","X","O","O","X","O","O","8","X_EVENTUAL_WIN","d8dd5602-9274-11e8-89ca-cb09d8eb3b08"
"X","X","X","X","O","O","X","O","O","9","X_WIN","d8dd5602-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","E","E","E","E","X","E","1","O_EVENTUAL_WIN","d8ddcb1e-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","O","E","E","E","X","E","2","O_EVENTUAL_WIN","d8ddcb1e-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","O","E","E","E","X","X","3","O_EVENTUAL_WIN","d8ddcb1e-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","O","E","E","O","X","X","4","O_EVENTUAL_WIN","d8ddcb1e-9274-11e8-89ca-cb09d8eb3b08"
"E","X","E","O","E","E","O","X","X","5","O_EVENTUAL_WIN","d8ddcb1e-9274-11e8-89ca-cb09d8eb3b08"
"O","X","E","O","E","E","O","X","X","6","O_WIN","d8ddcb1e-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","E","X","E","E","E","E","1","X_EVENTUAL_WIN","d8de1934-9274-11e8-89ca-cb09d8eb3b08"
"E","E","E","E","X","E","E","O","E","2","X_EVENTUAL_WIN","d8de1934-9274-11e8-89ca-cb09d8eb3b08"
"E","E","X","E","X","E","E","O","E","3","X_EVENTUAL_WIN","d8de1934-9274-11e8-89ca-cb09d8eb3b08"
"O","E","X","E","X","E","E","O","E","4","X_EVENTUAL_WIN","d8de1934-9274-11e8-89ca-cb09d8eb3b08"
"O","X","X","E","X","E","E","O","E","5","X_EVENTUAL_WIN","d8de1934-9274-11e8-89ca-cb09d8eb3b08"
"O","X","X","E","X","E","E","O","O","6","X_EVENTUAL_WIN","d8de1934-9274-11e8-89ca-cb09d8eb3b08"
